Male names,Female names,Last name,Occupation,Marital status,Home type,Home ownership,Street,Email
James,Mary,Smith,Student,Single,Detached house,Owns outright,Stoneleigh Place,gmail
John,Patricia,Johnson,Carer,Married,Semi-detached house,Owns with mortgage,Buckfast Street,live
Robert,Jennifer,Williams,Self-employed,Separated,Terraced house,Shared ownership,Abbot's Place,outlook
Michael,Linda,Jones,Intern,Divorced,Tenement flat,Renting,Abbotswell Road,icloud
William,Elizabeth,Brown,Apprenticeship,Widowed,Shared house,Rent free,Herald Street,mail
David,Barbara,Davis,Cashier,Civil partnership,Commercial building,Owns outright,Hazel Grove,gmx
Richard,Susan,Miller,Retail salesperson,Single,Caravan,Owns with mortgage,Corn Street,outlook
Joseph,Jessica,Wilson,Cashier,Married,Detached house,Shared ownership,Benhill Road,yahoo
Thomas,Sarah,Moore,Office clerk,Separated,Semi-detached house,Renting,Arbutus Street,fastmail
Charles,Karen,Taylor,Nurse,Divorced,Terraced house,Rent free,County Street,gmail
Christopher,Nancy,Anderson,Service worker,Widowed,Tenement flat,Owns outright,Robert Adam Street,gmail
Daniel,Margaret,Thomas,Customer services,Civil partnership,Shared house,Owns with mortgage,Adams Row,gmail
Matthew,Lisa,Jackson,Cleaner,Single,Commercial building,Shared ownership,Orsman Place,gmail
Anthony,Betty,White,Laborer,Married,Caravan,Renting,Adelaide Close,gmail
Donald,Dorothy,Harris,Secretary,Separated,Detached house,Rent free,Adelaide Avenue,gmail
Mark,Sandra,Martin,Stock clerk,Divorced,Semi-detached house,Owns outright,Adelaide Grove,gmail
Paul,Ashley,Thompson,General manager,Widowed,Terraced house,Owns with mortgage,Seymour Street,gmail
Steven,Kimberly,Garcia,Accountant,Civil partnership,Tenement flat,Shared ownership,Whichcote Street,gmail
Andrew,Donna,Martinez,Primary school teacher,Single,Shared house,Renting,Chudleigh Street,gmail
Kenneth,Emily,Robinson,Truck driver,Married,Commercial building,Rent free,Keesey Street,gmail
Joshua,Michelle,Clark,Nursing attendant,Separated,Caravan,Owns with mortgage,Albemarle Way,gmail
George,Carol,Rodriguez,Sales representative,Divorced,Detached house,Shared ownership,Marlborough Grove,gmail
Kevin,Amanda,Lewis,Support worker,Widowed,Semi-detached house,Renting,Kidd Cottages,gmail
Brian,Melissa,Lee,Teacher assistant,Civil partnership,Terraced house,Owns with mortgage,Alberta Cottages,gmail
Edward,Deborah,Walker,Vehicle mechanic,Single,Tenement flat,Shared ownership,Hoadly Cottages,gmail
Ronald,Stephanie,Hall,Maintenance worker,Married,Shared house,Renting,Haven Mews,gmail
Timothy,Rebecca,Allen,Secondary school teacher,Separated,Commercial building,Owns with mortgage,Bright Mews,gmail
Jason,Laura,Young,Security guard,Divorced,Caravan,Shared ownership,Albert Terrace Mews,gmail
Jeffrey,Sharon,Hernandez,Receptionist,Widowed,Detached house,Renting,Abbey Mews,gmail
Ryan,Cynthia,King,Landscaper,Civil partnership,Semi-detached house,Owns with mortgage,Bulmer Mews,gmail
Jacob,Kathleen,Wright,Chef,Single,Terraced house,Shared ownership,Middleton Road,live
Gary,Helen,Lopez,Housekeeper,Married,Tenement flat,Renting,Consort Road,outlook
Nicholas,Amy,Hill,Groundskeeper,Separated,Shared house,Owns with mortgage,Darling Road,icloud
Eric,Shirley,Scott,Food preparation worker,Divorced,Commercial building,Shared ownership,Albert Drive,mail
Stephen,Angela,Green,Delivery driver,Widowed,Caravan,Renting,Mercator Road,gmx
Jonathan,Anna,Adams,Construction laborer,Civil partnership,Detached house,Owns with mortgage,Prince Albert Road,outlook
Larry,Brenda,Baker,Food server,Single,Semi-detached house,Shared ownership,Albert Gardens,yahoo
Justin,Pamela,Gonzalez,Police officer,Married,Terraced house,Renting,Deal Street #,fastmail
Scott,Nicole,Nelson,Carpenter,Separated,Tenement flat,Owns with mortgage,Drew Street,gmail
Brandon,Ruth,Carter,Childcare worker,Divorced,Shared house,Shared ownership,Culpeper Street,live
Frank,Katherine,Mitchell,IT specialist,Widowed,Detached house,Owns outright,Consort Street,outlook
Benjamin,Samantha,Perez,Lawyer,Civil partnership,Semi-detached house,Owns with mortgage,Haven Mews,icloud
Gregory,Christine,Roberts,Fast food worker,Single,Terraced house,Shared ownership,Albion Mews,mail
Samuel,Emma,Turner,Electrician,Married,Tenement flat,Renting,Connaught Close,gmx
Raymond,Catherine,Phillips,Dishwasher,Separated,Shared house,Rent free,Albion Close,outlook
Patrick,Debra,Campbell,Software developer,Divorced,Detached house,Owns outright,Ducal Place,yahoo
Alexander,Virginia,Parker,Bartender,Widowed,Semi-detached house,Owns with mortgage,Alba Place,fastmail
Jack,Rachel,Evans,Post worker,Civil partnership,Terraced house,Shared ownership,Harben Road,gmail
Dennis,Carolyn,Edwards,Financial manager,Single,Tenement flat,Owns outright,Albion Way,live
Jerry,Janet,Collins,Prison officer,Married,Shared house,Owns with mortgage,Woolwich Church Street,outlook
Tyler,Maria,Stewart,Barista,Separated,Detached house,Shared ownership,Albion Avenue,icloud
Aaron,Heather,Sanchez,HR Officer,Divorced,Semi-detached house,Renting,English Street,mail
Jose,Diane,Morris,Rental clerk,Widowed,Terraced house,Rent free,Balfe Street,gmx
Henry,Julie,Rogers,Production worker,Civil partnership,Tenement flat,Owns outright,Aldred Street,outlook
Douglas,Joyce,Reed,Nursery teacher,Single,Detached house,Owns with mortgage,Murdoch Street,yahoo
Adam,Victoria,Cook,Plumber,Married,Semi-detached house,Shared ownership,Alexandra Grove,fastmail
Peter,Kelly,Morgan,Machinist,Separated,Terraced house,Renting,Alexandra Drive,gmail
Nathan,Christina,Bell,Hairdresser,Divorced,Tenement flat,Owns outright,Milson Road,live
Zachary,Joan,Murphy,Pharmacy technician,Widowed,Detached house,Owns with mortgage,Seven Sisters Road,outlook
Walter,Evelyn,Bailey,Network administrator,Civil partnership,Semi-detached house,Shared ownership,Montpelier Place,icloud
Kyle,Lauren,Rivera,Postal worker,Single,Terraced house,Renting,Ladbroke Mews,mail
Harold,Judith,Cooper,Sales manager,Married,Detached house,Rent free,Russia Place,gmx
Carl,Olivia,Richardson,Welder,Separated,Semi-detached house,Owns outright,Thurloe Street,outlook
Jeremy,Frances,Cox,Firefighter,Divorced,Terraced house,Owns with mortgage,Elia Street,yahoo
Keith,Martha,Howard,Dental assistant,Widowed,Detached house,Shared ownership,Keyse Road,fastmail
Roger,Cheryl,Ward,Physician,Civil partnership,Semi-detached house,Renting,Udall Street,gmail
Gerald,Megan,Torres,Paramedic,Single,Terraced house,Owns outright,Alfreda Street,live
Ethan,Andrea,Peterson,Doctor,Married,Detached house,Owns with mortgage,Alfred's Close,outlook
Arthur,Hannah,Gray,Musician,Separated,Semi-detached house,Shared ownership,Dallington Street,icloud
Terry,Jacqueline,Ramirez,Insurance salesperson,Divorced,Terraced house,Renting,Hawes Street,mail
Christian,Ann,James,Statistician,Widowed,Detached house,Rent free,Allington Road,gmx
Sean,Jean,Watson,Designer,Civil partnership,Semi-detached house,Owns outright,Doric Road,outlook
Lawrence,Alice,Brooks,Veterinarian,Single,Terraced house,Owns with mortgage,Portia Road,yahoo
Austin,Kathryn,Kelly,Airline pilot,Married,Detached house,Shared ownership,Harecourt Road,fastmail
Joe,Gloria,Sanders,Engineer,Separated,Semi-detached house,Renting,Alma Grove,gmail
Noah,Teresa,Price,Estate agent,Divorced,Terraced house,Owns outright,Cherbury Street,live
Jesse,Doris,Bennett,Journalist,Widowed,Tenement flat,Owns with mortgage,Brayfield Terrace,outlook
Albert,Sara,Wood,Photographer,Civil partnership,Detached house,Shared ownership,Omega Place,icloud
Bryan,Janice,Barnes,Tax inspector,Single,Semi-detached house,Renting,Raglan Street,mail
Billy,Julia,Ross,Stock broker,Married,Terraced house,Rent free,Alpha Grove,gmx
Bruce,Marie,Henderson,Tour guide,Separated,Tenement flat,Owns outright,Alpha Close,outlook
Willie,Madison,Coleman,Travel agent,Divorced,Shared house,Owns with mortgage,Amberley Grove,yahoo
Jordan,Grace,Jenkins,Civil servant,Widowed,Detached house,Shared ownership,Vintners Place,fastmail
Dylan,Judy,Perry,Writer,Civil partnership,Semi-detached house,Renting,Lanyard Street,live
Alan,Theresa,Powell,Translator,Single,Terraced house,Owns outright,Aubert Road,live
Ralph,Beverly,Long,Warehouse manager,Married,Tenement flat,Owns with mortgage,Penley Court,live
Gabriel,Denise,Patterson,Youth worker,Separated,Shared house,Shared ownership,Angel Walk,gmx
Roy,Marilyn,Hughes,Customs officer,Divorced,Commercial building,Renting,Oceana Close,yahoo
Juan,Amber,Flores,Editorial assistant,Widowed,Detached house,Rent free,Parry Street,yahoo
Wayne,Danielle,Washington,Economist,Civil partnership,Semi-detached house,Owns outright,Ann's Cottages,icloud
Eugene,Abigail,Butler,Curator,Single,Terraced house,Owns with mortgage,Ann's Close,icloud
Logan,Brittany,Simmons,Counsellor,Married,Tenement flat,Owns outright,Moravian Place,icloud
Randy,Rose,Foster,Debt advisor,Separated,Shared house,Owns with mortgage,Robsart Place,live
Louis,Diana,Gonzales,Community worker,Divorced,Detached house,Shared ownership,Bicknell Road,outlook
Russell,Natalie,Bryant,Personal trainer,Widowed,Semi-detached house,Renting,Station Rise,outlook
Vincent,Sophia,Alexander,Researcher,Civil partnership,Terraced house,Rent free,Temple Place,outlook
Philip,Alexis,Russell,Physiotherapist,Single,Tenement flat,Owns outright,Old Street,outlook
Bobby,Lori,Griffin,Librarian,Married,Shared house,Owns with mortgage,St. Michael's Street,mail
Johnny,Kayla,Diaz,Restaurant manager,Separated,Commercial building,Shared ownership,Marshall Gardens,mail
Bradley,Jane,Hayes,Recycling officer,Divorced,Caravan,Renting,Curnock Street,mail
