Male names,Female names,Last name,Occupation,Marital status,Home type,Home ownership,Street,Email,Buying channel
James,Mary,Smith,Student,Single,Detached house,Owns outright,Stoneleigh Place,gmail,Mail
John,Patricia,Johnson,Carer,Married,Semi-detached house,Owns with mortgage,Buckfast Street,live,Phone
Robert,Jennifer,Williams,Self-employed,Separated,Terraced house,Shared ownership,Abbot's Place,outlook,Internet
Michael,Linda,Jones,Intern,Divorced,Tenement flat,Renting,Abbotswell Road,icloud,Internet
William,Elizabeth,Brown,Apprenticeship,Widowed,Shared house,Rent free,Herald Street,mail,Internet
David,Barbara,Davis,Cashier,Civil partnership,Commercial building,Owns outright,Hazel Grove,gmx,Internet
Richard,Susan,Miller,Retail salesperson,Single,Caravan,Owns with mortgage,Corn Street,outlook,Internet
Joseph,Jessica,Wilson,Cashier,Married,Detached house,Shared ownership,Benhill Road,yahoo,Internet
Thomas,Sarah,Moore,Office clerk,Separated,Semi-detached house,Renting,Arbutus Street,fastmail,Internet
Charles,Karen,Taylor,Nurse,Divorced,Terraced house,Rent free,County Street,gmail,Internet
Christopher,Nancy,Anderson,Service worker,Widowed,Tenement flat,Owns outright,Robert Adam Street,gmail,Mail
Daniel,Margaret,Thomas,Customer services,Civil partnership,Shared house,Owns with mortgage,Adams Row,gmail,Phone
Matthew,Lisa,Jackson,Cleaner,Single,Commercial building,Shared ownership,Orsman Place,gmail,Mail
Anthony,Betty,White,Laborer,Married,Caravan,Renting,Adelaide Close,gmail,Phone
Donald,Dorothy,Harris,Secretary,Separated,Detached house,Rent free,Adelaide Avenue,gmail,Mail
Mark,Sandra,Martin,Stock clerk,Divorced,Semi-detached house,Owns outright,Adelaide Grove,gmail,Phone
Paul,Ashley,Thompson,General manager,Widowed,Terraced house,Owns with mortgage,Seymour Street,gmail,Mail
Steven,Kimberly,Garcia,Accountant,Civil partnership,Tenement flat,Shared ownership,Whichcote Street,gmail,Phone
Andrew,Donna,Martinez,Primary school teacher,Single,Shared house,Renting,Chudleigh Street,gmail,Internet
Kenneth,Emily,Robinson,Truck driver,Married,Commercial building,Rent free,Keesey Street,gmail,Internet
Joshua,Michelle,Clark,Nursing attendant,Separated,Caravan,Owns with mortgage,Albemarle Way,gmail,Internet
George,Carol,Rodriguez,Sales representative,Divorced,Detached house,Shared ownership,Marlborough Grove,gmail,Internet
Kevin,Amanda,Lewis,Support worker,Widowed,Semi-detached house,Renting,Kidd Cottages,gmail,Internet
Brian,Melissa,Lee,Teacher assistant,Civil partnership,Terraced house,Owns with mortgage,Alberta Cottages,gmail,Internet
Edward,Deborah,Walker,Vehicle mechanic,Single,Tenement flat,Shared ownership,Hoadly Cottages,gmail,Internet
Ronald,Stephanie,Hall,Maintenance worker,Married,Shared house,Renting,Haven Mews,gmail,Internet
Timothy,Rebecca,Allen,Secondary school teacher,Separated,Commercial building,Owns with mortgage,Bright Mews,gmail,Internet
Jason,Laura,Young,Security guard,Divorced,Caravan,Shared ownership,Albert Terrace Mews,gmail,Internet
Jeffrey,Sharon,Hernandez,Receptionist,Widowed,Detached house,Renting,Abbey Mews,gmail,Internet
Ryan,Cynthia,King,Landscaper,Civil partnership,Semi-detached house,Owns with mortgage,Bulmer Mews,gmail,Internet
Jacob,Kathleen,Wright,Chef,Single,Terraced house,Shared ownership,Middleton Road,live,Internet
Gary,Helen,Lopez,Housekeeper,Married,Tenement flat,Renting,Consort Road,outlook,Internet
Nicholas,Amy,Hill,Groundskeeper,Separated,Shared house,Owns with mortgage,Darling Road,icloud,Internet
Eric,Shirley,Scott,Food preparation worker,Divorced,Commercial building,Shared ownership,Albert Drive,mail,Internet
Stephen,Angela,Green,Delivery driver,Widowed,Caravan,Renting,Mercator Road,gmx,Phone
Jonathan,Anna,Adams,Construction laborer,Civil partnership,Detached house,Owns with mortgage,Prince Albert Road,outlook,Phone
Larry,Brenda,Baker,Food server,Single,Semi-detached house,Shared ownership,Albert Gardens,yahoo,Phone
Justin,Pamela,Gonzalez,Police officer,Married,Terraced house,Renting,Deal Street,fastmail,Phone
Scott,Nicole,Nelson,Carpenter,Separated,Tenement flat,Owns with mortgage,Drew Street,gmail,Phone
Brandon,Ruth,Carter,Childcare worker,Divorced,Shared house,Shared ownership,Culpeper Street,live,Internet
Frank,Katherine,Mitchell,IT specialist,Widowed,Detached house,Owns outright,Consort Street,outlook,Internet
Benjamin,Samantha,Perez,Lawyer,Civil partnership,Semi-detached house,Owns with mortgage,Haven Mews,icloud,Internet
Gregory,Christine,Roberts,Fast food worker,Single,Terraced house,Shared ownership,Albion Mews,mail,Internet
Samuel,Emma,Turner,Electrician,Married,Tenement flat,Renting,Connaught Close,gmx,Internet
Raymond,Catherine,Phillips,Dishwasher,Separated,Shared house,Rent free,Albion Close,outlook,Internet
Patrick,Debra,Campbell,Software developer,Divorced,Detached house,Owns outright,Ducal Place,yahoo,Internet
Alexander,Virginia,Parker,Bartender,Widowed,Semi-detached house,Owns with mortgage,Alba Place,fastmail,Internet
Jack,Rachel,Evans,Post worker,Civil partnership,Terraced house,Shared ownership,Harben Road,gmail,Internet
Dennis,Carolyn,Edwards,Financial manager,Single,Tenement flat,Owns outright,Albion Way,live,Internet
Jerry,Janet,Collins,Prison officer,Married,Shared house,Owns with mortgage,Woolwich Church Street,outlook,Internet
Tyler,Maria,Stewart,Barista,Separated,Detached house,Shared ownership,Albion Avenue,icloud,Internet
Aaron,Heather,Sanchez,HR Officer,Divorced,Semi-detached house,Renting,English Street,mail,Internet
Jose,Diane,Morris,Rental clerk,Widowed,Terraced house,Rent free,Balfe Street,gmx,Internet
Henry,Julie,Rogers,Production worker,Civil partnership,Tenement flat,Owns outright,Aldred Street,outlook,Internet
Douglas,Joyce,Reed,Nursery teacher,Single,Detached house,Owns with mortgage,Murdoch Street,yahoo,Internet
Adam,Victoria,Cook,Plumber,Married,Semi-detached house,Shared ownership,Alexandra Grove,fastmail,Internet
Peter,Kelly,Morgan,Machinist,Separated,Terraced house,Renting,Alexandra Drive,gmail,Mail
Nathan,Christina,Bell,Hairdresser,Divorced,Tenement flat,Owns outright,Milson Road,live,Phone
Zachary,Joan,Murphy,Pharmacy technician,Widowed,Detached house,Owns with mortgage,Seven Sisters Road,outlook,Mail
Walter,Evelyn,Bailey,Network administrator,Civil partnership,Semi-detached house,Shared ownership,Montpelier Place,icloud,Phone
Kyle,Lauren,Rivera,Postal worker,Single,Terraced house,Renting,Ladbroke Mews,mail,Internet
Harold,Judith,Cooper,Sales manager,Married,Detached house,Rent free,Russia Place,gmx,Internet
Carl,Olivia,Richardson,Welder,Separated,Semi-detached house,Owns outright,Thurloe Street,outlook,Internet
Jeremy,Frances,Cox,Firefighter,Divorced,Terraced house,Owns with mortgage,Elia Street,yahoo,Internet
Keith,Martha,Howard,Dental assistant,Widowed,Detached house,Shared ownership,Keyse Road,fastmail,Internet
Roger,Cheryl,Ward,Physician,Civil partnership,Semi-detached house,Renting,Udall Street,gmail,Internet
Gerald,Megan,Torres,Paramedic,Single,Terraced house,Owns outright,Alfreda Street,live,Internet
Ethan,Andrea,Peterson,Doctor,Married,Detached house,Owns with mortgage,Alfred's Close,outlook,Internet
Arthur,Hannah,Gray,Musician,Separated,Semi-detached house,Shared ownership,Dallington Street,icloud,Internet
Terry,Jacqueline,Ramirez,Insurance salesperson,Divorced,Terraced house,Renting,Hawes Street,mail,Internet
Christian,Ann,James,Statistician,Widowed,Detached house,Rent free,Allington Road,gmx,Internet
Sean,Jean,Watson,Designer,Civil partnership,Semi-detached house,Owns outright,Doric Road,outlook,Internet
Lawrence,Alice,Brooks,Veterinarian,Single,Terraced house,Owns with mortgage,Portia Road,yahoo,Internet
Austin,Kathryn,Kelly,Airline pilot,Married,Detached house,Shared ownership,Harecourt Road,fastmail,Internet
Joe,Gloria,Sanders,Engineer,Separated,Semi-detached house,Renting,Alma Grove,gmail,Internet
Noah,Teresa,Price,Estate agent,Divorced,Terraced house,Owns outright,Cherbury Street,live,Internet
Jesse,Doris,Bennett,Journalist,Widowed,Tenement flat,Owns with mortgage,Brayfield Terrace,outlook,Internet
Albert,Sara,Wood,Photographer,Civil partnership,Detached house,Shared ownership,Omega Place,icloud,Internet
Bryan,Janice,Barnes,Tax inspector,Single,Semi-detached house,Renting,Raglan Street,mail,Internet
Billy,Julia,Ross,Stock broker,Married,Terraced house,Rent free,Alpha Grove,gmx,Internet
Bruce,Marie,Henderson,Tour guide,Separated,Tenement flat,Owns outright,Alpha Close,outlook,Internet
Willie,Madison,Coleman,Travel agent,Divorced,Shared house,Owns with mortgage,Amberley Grove,yahoo,Internet
Jordan,Grace,Jenkins,Civil servant,Widowed,Detached house,Shared ownership,Vintners Place,fastmail,Internet
Dylan,Judy,Perry,Writer,Civil partnership,Semi-detached house,Renting,Lanyard Street,live,Internet
Alan,Theresa,Powell,Translator,Single,Terraced house,Owns outright,Aubert Road,live,Internet
Ralph,Beverly,Long,Warehouse manager,Married,Tenement flat,Owns with mortgage,Penley Court,live,Internet
Gabriel,Denise,Patterson,Youth worker,Separated,Shared house,Shared ownership,Angel Walk,gmx,Internet
Roy,Marilyn,Hughes,Customs officer,Divorced,Commercial building,Renting,Oceana Close,yahoo,Internet
Juan,Amber,Flores,Editorial assistant,Widowed,Detached house,Rent free,Parry Street,yahoo,Internet
Wayne,Danielle,Washington,Economist,Civil partnership,Semi-detached house,Owns outright,Ann's Cottages,icloud,Internet
Eugene,Abigail,Butler,Curator,Single,Terraced house,Owns with mortgage,Ann's Close,icloud,Internet
Logan,Brittany,Simmons,Counsellor,Married,Tenement flat,Owns outright,Moravian Place,icloud,Internet
Randy,Rose,Foster,Debt advisor,Separated,Shared house,Owns with mortgage,Robsart Place,live,Internet
Louis,Diana,Gonzales,Community worker,Divorced,Detached house,Shared ownership,Bicknell Road,outlook,Mail
Russell,Natalie,Bryant,Personal trainer,Widowed,Semi-detached house,Renting,Station Rise,outlook,Phone
Vincent,Sophia,Alexander,Researcher,Civil partnership,Terraced house,Rent free,Temple Place,outlook,Mail
Philip,Alexis,Russell,Physiotherapist,Single,Tenement flat,Owns outright,Old Street,outlook,Phone
Bobby,Lori,Griffin,Librarian,Married,Shared house,Owns with mortgage,St. Michael's Street,mail,Mail
Johnny,Kayla,Diaz,Restaurant manager,Separated,Commercial building,Shared ownership,Marshall Gardens,mail,Phone
Bradley,Jane,Hayes,Recycling officer,Divorced,Caravan,Renting,Curnock Street,mail,Mail
